event,nist.f1,nist.precision,nist.recall,wiki.f1,wiki.precision,wiki.recall
CrisisFACTS-009,0.1178174763917923,0.0626336932182312,0.9905277490615845,0.020141489803791046,0.010353384539484978,0.36890244483947754
CrisisFACTS-010,0.10675039142370224,0.056403450667858124,0.9941520690917969,0.024703240022063255,0.012773722410202026,0.37378641963005066
CrisisFACTS-011,0.10329047590494156,0.05452035740017891,0.9793388247489929,,,
CrisisFACTS-012,0.310570627450943,0.1842397302389145,0.988095223903656,,,
CrisisFACTS-013,0.44423237442970276,0.29048362374305725,0.9437404870986938,0.01435552816838026,0.007332293316721916,0.34057971835136414
CrisisFACTS-014,0.240894615650177,0.13713635504245758,0.9897330403327942,0.036497343331575394,0.019062522798776627,0.42743220925331116
CrisisFACTS-015,0.18509463965892792,0.10305669903755188,0.9075342416763306,0.010463953018188477,0.005288947839289904,0.48571428656578064
CrisisFACTS-016,0.3029184937477112,0.17977304756641388,0.9616613388061523,0.026924535632133484,0.014134978875517845,0.28286853432655334
CrisisFACTS-017,0.28636741638183594,0.16751763224601746,0.9856938719749451,0.013189448043704033,0.00668611703440547,0.48245614767074585
CrisisFACTS-018,0.4677419364452362,0.36595743894577026,0.6479604840278625,0.016124388203024864,0.008217168040573597,0.42748090624809265
