event,nist.f1,nist.precision,nist.recall,wiki.f1,wiki.precision,wiki.recall
CrisisFACTS-010,0.7465835213661194,0.7209338545799255,0.7741258144378662,0.6792130470275879,0.643828809261322,0.7187128067016602
CrisisFACTS-011,0.7689056396484375,0.7877461910247803,0.7509452700614929,,,
CrisisFACTS-017,0.7999453544616699,0.7821177840232849,0.818604588508606,0.7195256352424622,0.6801567077636719,0.7637320160865784
CrisisFACTS-018,0.8247323632240295,0.8132930994033813,0.836497962474823,0.7451040148735046,0.7093371152877808,0.7846693396568298
