,req_id,run,redundancy,comprehensiveness
9,CrisisFACTS-003-r5,baseline.v2,0.575,0.17647058823529413
24,CrisisFACTS-003-r6,baseline.v2,0.525,0.1746031746031746
31,CrisisFACTS-003-r7,baseline.v2,0.7,0.16091954022988506
42,CrisisFACTS-003-r8,baseline.v2,0.5263157894736842,0.11235955056179775
63,CrisisFACTS-003-r9,baseline.v2,0.3684210526315789,0.1
76,CrisisFACTS-003-r10,baseline.v2,0.575,0.17647058823529413
88,CrisisFACTS-003-r11,baseline.v2,0.025,0.5
102,CrisisFACTS-004-r8,baseline.v2,0.25,0.1111111111111111
113,CrisisFACTS-004-r9,baseline.v2,0.75,0.2711864406779661
127,CrisisFACTS-004-r10,baseline.v2,0.225,0.11904761904761904
133,CrisisFACTS-004-r11,baseline.v2,0.275,0.07142857142857142
153,CrisisFACTS-004-r12,baseline.v2,0.34210526315789475,0.12727272727272726
161,CrisisFACTS-004-r13,baseline.v2,0.425,0.08411214953271028
178,CrisisFACTS-004-r14,baseline.v2,0.35,0.1044776119402985
189,CrisisFACTS-004-r15,baseline.v2,0.4,0.10666666666666667
205,CrisisFACTS-004-r16,baseline.v2,0.3,0.08823529411764706
214,CrisisFACTS-004-r17,baseline.v2,0.15,0.04838709677419355
227,CrisisFACTS-004-r18,baseline.v2,0.4,0.10810810810810811
238,CrisisFACTS-004-r19,baseline.v2,0.15,0.08
254,CrisisFACTS-004-r20,baseline.v2,0.125,0.06818181818181818
265,CrisisFACTS-004-r21,baseline.v2,0.25,0.1111111111111111
279,CrisisFACTS-004-r22,baseline.v2,0.2,0.18181818181818182
294,CrisisFACTS-006-r4,baseline.v2,0.525,0.1746031746031746
308,CrisisFACTS-006-r5,baseline.v2,0.13333333333333333,0.03076923076923077
320,CrisisFACTS-006-r6,baseline.v2,0.25,0.10416666666666667
334,CrisisFACTS-006-r7,baseline.v2,0.275,0.11320754716981132
347,CrisisFACTS-007-r13,baseline.v2,0.42105263157894735,0.07339449541284404
356,CrisisFACTS-007-r14,baseline.v2,0.868421052631579,0.136
366,CrisisFACTS-013-r0,baseline.v2,0.5333333333333333,0.06779661016949153
391,CrisisFACTS-013-r1,baseline.v2,0.5263157894736842,0.12
410,CrisisFACTS-013-r2,baseline.v2,0.3333333333333333,0.0625
420,CrisisFACTS-013-r3,baseline.v2,0.4473684210526316,0.09523809523809523
445,CrisisFACTS-013-r4,baseline.v2,0.3157894736842105,0.08235294117647059
459,CrisisFACTS-013-r5,baseline.v2,0.0,0.0
469,CrisisFACTS-014-r0,baseline.v2,0.05,0.007407407407407408
499,CrisisFACTS-014-r1,baseline.v2,0.125,0.015873015873015872
517,CrisisFACTS-014-r2,baseline.v2,0.29411764705882354,0.05102040816326531
534,CrisisFACTS-014-r3,baseline.v2,0.17857142857142858,0.03361344537815126
554,CrisisFACTS-014-r4,baseline.v2,0.0,0.0
572,CrisisFACTS-014-r5,baseline.v2,0.0625,0.009523809523809525
590,CrisisFACTS-014-r6,baseline.v2,0.2727272727272727,0.030927835051546393
602,CrisisFACTS-001-r3,baseline.v2,0.45,0.15476190476190477
615,CrisisFACTS-001-r4,baseline.v2,0.3157894736842105,0.09375
628,CrisisFACTS-001-r5,baseline.v2,0.21052631578947367,0.1
641,CrisisFACTS-001-r6,baseline.v2,0.2631578947368421,0.1111111111111111
652,CrisisFACTS-001-r7,baseline.v2,0.25,0.10416666666666667
667,CrisisFACTS-001-r8,baseline.v2,0.2647058823529412,0.12195121951219512
675,CrisisFACTS-001-r9,baseline.v2,0.1875,0.09615384615384616
693,CrisisFACTS-001-r10,baseline.v2,0.0,0.0
706,CrisisFACTS-001-r11,baseline.v2,0.0,0.0
712,CrisisFACTS-011-r0,baseline.v2,0.0,0.0
731,CrisisFACTS-011-r1,baseline.v2,0.11764705882352941,0.12903225806451613
759,CrisisFACTS-011-r2,baseline.v2,0.11538461538461539,0.04
774,CrisisFACTS-011-r3,baseline.v2,0.0,0.0
795,CrisisFACTS-012-r0,baseline.v2,0.0,0.0
804,CrisisFACTS-012-r1,baseline.v2,0.23684210526315788,0.03597122302158273
826,CrisisFACTS-012-r2,baseline.v2,0.25,0.0392156862745098
843,CrisisFACTS-012-r3,baseline.v2,0.2,0.05555555555555555
863,CrisisFACTS-012-r4,baseline.v2,0.15,0.05555555555555555
874,CrisisFACTS-016-r0,baseline.v2,0.23529411764705882,0.056818181818181816
895,CrisisFACTS-016-r1,baseline.v2,0.3,0.07216494845360824
917,CrisisFACTS-016-r2,baseline.v2,0.23684210526315788,0.07142857142857142
936,CrisisFACTS-016-r3,baseline.v2,0.1111111111111111,0.03571428571428571
951,CrisisFACTS-017-r0,baseline.v2,0.21875,0.05333333333333334
971,CrisisFACTS-017-r1,baseline.v2,0.29411764705882354,0.03676470588235294
987,CrisisFACTS-017-r2,baseline.v2,0.46875,0.05228758169934641
996,CrisisFACTS-017-r3,baseline.v2,0.20588235294117646,0.058823529411764705
1024,CrisisFACTS-017-r4,baseline.v2,0.05263157894736842,0.023255813953488372
1030,CrisisFACTS-017-r5,baseline.v2,0.3333333333333333,0.1891891891891892
1049,CrisisFACTS-018-r0,baseline.v2,0.39285714285714285,0.08641975308641975
1077,CrisisFACTS-018-r1,baseline.v2,0.6,0.05
1090,CrisisFACTS-018-r2,baseline.v2,0.325,0.043478260869565216
1101,CrisisFACTS-018-r3,baseline.v2,0.325,0.06862745098039216
1122,CrisisFACTS-018-r4,baseline.v2,0.3,0.075
1138,CrisisFACTS-002-r2,baseline.v2,0.175,0.05555555555555555
1153,CrisisFACTS-002-r1,baseline.v2,0.5294117647058824,0.12087912087912088
1168,CrisisFACTS-002-r3,baseline.v2,0.13157894736842105,0.061224489795918366
1181,CrisisFACTS-002-r4,baseline.v2,0.15789473684210525,0.11538461538461539
1191,CrisisFACTS-002-r5,baseline.v2,0.2647058823529412,0.10204081632653061
1202,CrisisFACTS-002-r6,baseline.v2,0.3157894736842105,0.3333333333333333
1220,CrisisFACTS-008-r3,baseline.v2,0.18421052631578946,0.05714285714285714
1232,CrisisFACTS-008-r4,baseline.v2,0.3157894736842105,0.08641975308641975
1241,CrisisFACTS-008-r5,baseline.v2,0.45,0.08571428571428572
1251,CrisisFACTS-008-r6,baseline.v2,0.4473684210526316,0.088
1271,CrisisFACTS-008-r7,baseline.v2,0.65,0.11666666666666667
1285,CrisisFACTS-008-r9,baseline.v2,0.55,0.10185185185185185
1297,CrisisFACTS-008-r8,baseline.v2,0.75,0.11627906976744186
1305,CrisisFACTS-008-r10,baseline.v2,0.7,0.1414141414141414
1322,CrisisFACTS-005-r3,baseline.v2,0.325,0.1
1336,CrisisFACTS-005-r4,baseline.v2,0.375,0.11
1348,CrisisFACTS-005-r5,baseline.v2,0.325,0.1111111111111111
1362,CrisisFACTS-005-r6,baseline.v2,0.13157894736842105,0.1875
1370,CrisisFACTS-010-r0,baseline.v2,0.0,0.0
1398,CrisisFACTS-010-r1,baseline.v2,0.29411764705882354,0.045454545454545456
1417,CrisisFACTS-010-r2,baseline.v2,0.08333333333333333,0.0273972602739726
1434,CrisisFACTS-010-r3,baseline.v2,0.0,0.0
1443,CrisisFACTS-010-r4,baseline.v2,0.1,0.05660377358490566
1458,CrisisFACTS-010-r5,baseline.v2,0.0,0.0
1479,CrisisFACTS-011-r4,baseline.v2,0.0,0.0
1502,CrisisFACTS-015-r0,baseline.v2,0.28125,0.05952380952380952
1521,CrisisFACTS-015-r1,baseline.v2,0.2,0.03361344537815126
1539,CrisisFACTS-015-r2,baseline.v2,0.4411764705882353,0.07563025210084033
1551,CrisisFACTS-015-r3,baseline.v2,0.11764705882352941,0.03125
1573,CrisisFACTS-015-r4,baseline.v2,0.13157894736842105,0.061224489795918366
1590,CrisisFACTS-015-r5,baseline.v2,0.125,0.08108108108108109
1606,CrisisFACTS-015-r6,baseline.v2,0.07894736842105263,0.05263157894736842
1622,CrisisFACTS-016-r4,baseline.v2,0.029411764705882353,0.125
1647,CrisisFACTS-009-r1,baseline.v2,0.15789473684210525,0.025974025974025976
1663,CrisisFACTS-009-r2,baseline.v2,0.10714285714285714,0.024691358024691357
1680,CrisisFACTS-009-r3,baseline.v2,0.25,0.07272727272727272
1700,CrisisFACTS-009-r4,baseline.v2,0.3,0.03333333333333333
1709,CrisisFACTS-009-r5,baseline.v2,0.07142857142857142,0.019230769230769232
1732,CrisisFACTS-009-r6,baseline.v2,0.0,0.0
1742,CrisisFACTS-018-r5,baseline.v2,0.25,0.1276595744680851
1756,CrisisFACTS-009-r0,baseline.v2,0.05,0.09090909090909091
