,req_id,run,redundancy,comprehensiveness
1284,CrisisFACTS-008-r9,baseline.v1,0.7105263157894737,0.12962962962962962
1296,CrisisFACTS-008-r8,baseline.v1,0.725,0.11627906976744186
1304,CrisisFACTS-008-r10,baseline.v1,0.6,0.12121212121212122
1321,CrisisFACTS-005-r3,baseline.v1,0.5294117647058824,0.12
1335,CrisisFACTS-005-r4,baseline.v1,0.38235294117647056,0.09
1347,CrisisFACTS-005-r5,baseline.v1,0.425,0.14285714285714285
1361,CrisisFACTS-005-r6,baseline.v1,0.11764705882352941,0.125
1369,CrisisFACTS-010-r0,baseline.v1,0.0,0.0
1397,CrisisFACTS-010-r1,baseline.v1,0.21428571428571427,0.032467532467532464
1412,CrisisFACTS-010-r2,baseline.v1,0.14705882352941177,0.0410958904109589
1426,CrisisFACTS-010-r3,baseline.v1,0.0,0.0
1442,CrisisFACTS-010-r4,baseline.v1,0.17647058823529413,0.07547169811320754
1457,CrisisFACTS-010-r5,baseline.v1,0.0,0.0
1483,CrisisFACTS-011-r4,baseline.v1,0.03571428571428571,0.16666666666666666
1501,CrisisFACTS-015-r0,baseline.v1,0.25,0.047619047619047616
1517,CrisisFACTS-015-r1,baseline.v1,0.3157894736842105,0.058823529411764705
1535,CrisisFACTS-015-r2,baseline.v1,0.28125,0.05042016806722689
1550,CrisisFACTS-015-r3,baseline.v1,0.11764705882352941,0.03125
1572,CrisisFACTS-015-r4,baseline.v1,0.11764705882352941,0.04081632653061224
1592,CrisisFACTS-015-r5,baseline.v1,0.25,0.13513513513513514
1610,CrisisFACTS-015-r6,baseline.v1,0.125,0.07894736842105263
1621,CrisisFACTS-016-r4,baseline.v1,0.029411764705882353,0.125
1646,CrisisFACTS-009-r1,baseline.v1,0.38235294117647056,0.045454545454545456
1664,CrisisFACTS-009-r2,baseline.v1,0.10714285714285714,0.024691358024691357
1682,CrisisFACTS-009-r3,baseline.v1,0.2857142857142857,0.07272727272727272
1699,CrisisFACTS-009-r4,baseline.v1,0.3,0.06666666666666667
1717,CrisisFACTS-009-r5,baseline.v1,0.125,0.038461538461538464
1731,CrisisFACTS-009-r6,baseline.v1,0.0,0.0
1741,CrisisFACTS-018-r5,baseline.v1,0.25,0.1276595744680851
1755,CrisisFACTS-009-r0,baseline.v1,0.15789473684210525,0.2727272727272727
